Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10
1981,1.408056,1.704541666,1.96E+11,0.050000004,0.050000004,0.050000001,0.549967468,0.050020501,0.050007582,0.050004419,0.050000001,0.050000001,0.050000001
1982,1.324266,1.892541666,2.05E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1983,1.289093,1.975674999,2.31E+11,0.046312362,0.046289951,0.046276376,0.046282955,0.046281639,0.046276417,0.046279252,0.046276379,0.583186686,0.046537977
1984,1.305713,2.320041666,2.60E+11,0.050000004,0.050000001,0.050000001,0.050005119,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1985,1.394914,2.936658333,3.09E+11,0.041442785,0.041439794,0.041437969,0.041443393,0.041438676,0.041438021,0.041438486,0.041437969,0.32851848,0.33996442
1986,1.43123,3.452791667,3.01E+11,0.050000004,0.050000001,0.050000001,0.050005127,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
1987,1.46767,3.7221,2.73E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1988,1.58932,3.7221,3.12E+11,0.050000004,0.050000001,0.050000001,0.050007649,0.050000001,0.050000053,0.050000146,0.050000001,0.549992204,0.050000001
1989,1.660909,3.765108333,3.48E+11,0.041442763,0.041441482,0.041451663,0.041439004,0.041438807,0.041438989,0.041439872,0.323390782,0.041438453,0.34507814
1990,1.692148,4.783208333,3.61E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1991,1.746699,5.323391667,3.83E+11,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1992,1.847653,5.514591667,4.27E+11,0.050000008,0.050000008,0.050000004,0.549963236,0.050024748,0.050007608,0.050004434,0.050000004,0.050000004,0.050000004
1993,2.078978,5.761958333,4.45E+11,0.036607832,0.036604546,0.036620226,0.036611211,0.481612295,0.036613401,0.036606539,0.036602538,0.036603138,0.225518256
1994,2.455173,8.618742667,5.64E+11,0.050000004,0.05000167,0.0500101,0.050000653,0.050000135,0.050000995,0.050001502,0.549984872,0.050000079,0.050000001
1995,2.733376,8.351416667,7.35E+11,0.0427051,0.0427051,0.042718671,0.042719387,0.615611315,0.042715836,0.042709194,0.042705096,0.042705216,0.042705096
1996,2.858882,8.314175,8.64E+11,0.036892574,0.03689437,0.224601984,0.480181098,0.036909148,0.036904369,0.036898181,0.036917243,0.036908455,0.036892567
1997,2.855852,8.289816667,9.62E+11,0.041437976,0.041439302,0.627026558,0.041438494,0.041441765,0.041442826,0.041440163,0.041456848,0.041438114,0.041437972
1998,2.798643,8.278958333,1.03E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
1999,2.723965,8.27825,1.09E+12,0.050004922,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2000,2.719364,8.278504167,1.21E+12,0.038130507,0.038130503,0.038154274,0.356684774,0.338188291,0.038145214,0.038135488,0.038130499,0.038169943,0.038130499
2001,2.715469,8.277068333,1.34E+12,0.049999997,0.049999997,0.049999993,0.549963057,0.050024897,0.050007597,0.050004423,0.049999993,0.049999993,0.049999993
2002,2.689281,8.2769575,1.47E+12,0.040088315,0.040088449,0.040130474,0.553140342,0.040086918,0.040082969,0.040085312,0.040205315,0.040075123,0.126016736
2003,2.70898,8.277036667,1.66E+12,0.038378056,0.038383428,0.038479548,0.03837407,0.654131532,0.038371906,0.038376864,0.038639419,0.038358215,0.038506933
2004,2.821351,8.276800833,1.96E+12,0.041437972,0.041437972,0.041437969,0.627009034,0.041445646,0.041440919,0.041439869,0.041437969,0.041474719,0.041437969
2005,2.842933,8.194316667,2.29E+12,0.050004952,0.050001867,0.050000004,0.050000388,0.050000727,0.050000004,0.050000384,0.050000004,0.050000418,0.54999131
2006,2.867778,7.973438333,2.75E+12,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2007,3.009186,7.6075325,3.55E+12,0.050000004,0.050000001,0.050000001,0.050005116,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
2008,3.181871,6.948655,4.59E+12,0.050000004,0.05000167,0.050010685,0.050000653,0.050000135,0.050000999,0.050001502,0.549984276,0.050000079,0.050000001
2009,3.151181,6.831416052,5.10E+12,0.041437972,0.041439299,0.627027094,0.04143849,0.041441761,0.041442823,0.041440159,0.041456319,0.04143811,0.041437969
2010,3.329232,6.770269029,6.09E+12,0.041437976,0.041439302,0.627027214,0.041438494,0.041441761,0.041442823,0.041440163,0.041456193,0.041438114,0.041437972
2011,3.524468,6.461461327,7.55E+12,0.050004918,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2012,3.560968,6.312332827,8.53E+12,0.050004929,0.050001863,0.050000001,0.050000384,0.050000723,0.050000001,0.050000381,0.050000001,0.050000414,0.54999131
2013,3.663645,6.195758346,9.57E+12,0.050000004,0.05000167,0.050010063,0.050000653,0.050000135,0.050000995,0.050001502,0.549984932,0.050000079,0.050000001
2014,3.75885,6.143434094,1.05E+13,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2015,3.870697,6.227488673,1.11E+13,0.050000004,0.050000004,0.549970567,0.050000001,0.050011355,0.050015271,0.050002649,0.050000001,0.050000202,0.050000001
2016,3.988837,6.644477829,1.12E+13,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
2017,4.183811,6.758755086,1.23E+13,0.050000004,0.050000001,0.050000001,0.050005119,0.050000001,0.050000053,0.050000146,0.050000001,0.549994707,0.050000001
2018,4.227258,6.615957177,1.39E+13,0.036617026,0.036618277,0.463246346,0.036622673,0.036620598,0.036621653,0.036619235,0.036634833,0.243782297,0.036617022
